100
12
Jan
refugee,price
2587,3097,1195,2335,1339,55,5,0,47,875,2263,643
11466.59,10760.25,10549.75,9749.87,9900.21,10077.27,9893.67,9947.29,9989.48,9766.83,10340.1,10462.82
1820,4097,5126,1568,1162,0,5,843,22,2197,1781,3109
12111.41,10466.42,10522.53,10125.65,9935.62,9913.65,9862.56,9992.77,9630.94,10083.8,9970.31,10210.04
412,4182,2890,1975,805,4,0,20,38,18795,1316,1401
11814.47,12149.85,10706.0,9980.04,9748.62,9799.97,9861.78,9878.17,9825.41,9975.6,10074.81,9989.21
215,803,2411,733,62,497,8,304,35,8400,852,353
11305.09,11619.32,10554.45,10511.77,9946.49,9995.89,9823.46,9897.99,9996.83,10145.1,10335.17,9869.95
1692,5792,1129,4108,54,8,0,4,587,999,5200,1909
9347.14,10454.15,10688.97,9999.69,10124.15,9827.17,9808.25,9915.66,9816.49,9910.04,10106.5,10528.34
4514,1228,4480,4695,430,236,0,287,318,42,1405,1203
10792.62,10455.65,10588.38,9927.55,10101.75,9861.56,9903.19,9803.3,10019.11,9986.5,10064.72,9927.27
1057,5093,452,605,879,43,6,32,341,4489,22297,18
11077.88,10173.71,10400.9,10216.53,9853.19,9968.04,9901.54,9864.27,10155.88,9804.2,10156.55,10290.56
1053,10163,326,1664,11,5,44,5,36,447,6207,2109
10253.59,10485.7,10805.09,10801.18,9968.78,9751.89,9843.39,9981.13,9900.46,9830.27,9803.69,10325.18
1453,378,13190,1812,2525,287,80,12,317,459,271,1402
10438.58,11657.12,10329.47,10313.63,9786.81,9756.26,9816.4,9925.49,9807.68,10129.03,10071.03,10518.93
4361,3487,1182,888,110,18040,0,3,10,323,341,249
10443.8,10949.85,10350.13,9883.23,10257.54,9936.01,9879.2,9839.12,10096.35,10043.93,10623.1,10141.78
1843,10220,2332,355,106,243,0,6,223,108,933,6431
11471.01,10622.88,10304.6,10107.68,9924.3,9926.2,9904.96,9990.16,9849.3,9971.2,9748.03,10157.91
674,2149,1904,18556,0,314,216,6,14,630,1491,639
10749.89,10038.49,11032.97,10320.98,10127.91,10107.33,9837.63,9914.6,9937.93,10168.0,10072.2,10117.13
542,1444,237,1191,1822,20,4,0,10,451,336,518
10418.38,11142.9,10619.26,9971.94,9772.94,9930.59,9858.68,9933.14,9952.19,9879.93,9935.35,9734.05
3001,1469,751,2422,276,0,228,32,480,797,4491,327
11298.27,11226.12,10642.54,10077.38,9840.99,9809.47,9826.55,9893.93,10059.16,10045.45,10178.24,10154.23
461,1341,1820,167,0,116,4,80,1914,141,498,684
11039.05,10720.32,10663.34,10277.4,10020.01,9877.25,9880.06,9886.78,10013.28,9917.09,9760.11,10128.48
3964,629,2275,403,828,0,0,0,164,77,42,650
11665.8,10415.95,10846.42,10224.41,9902.43,9882.72,9879.54,9911.0,9943.2,9885.17,9921.93,10276.39
