5
12
Jan
refugee,price
70,2815,2726,4066,1009,43,8279,68,2874,2092,3970,695
10673.02,10447.99,10636.05,10365.23,9962.04,9927.83,9870.88,9887.41,10038.57,9993.63,10717.87,9719.32
150,3428,29,14,0,0,0,0,0,0,0,0
10924.1,10200.97,10648.79,9940.29,10020.78,9843.43,9902.97,9965.18,9839.35,9820.65,9970.2,9763.35
140,1690,179,81,0,1200,236,0,0,10,7047,40
11592,11539,10694,10038,10104,10009,9919,9879,10113,10039,10109,10308
496,468,765,2506,178,0,0,0,0,0,0,867
10675,10530,10421,9757,9848,9804,9850,9956,10041,10067,10166,10173
19484,22121,4960,0,598,681,0,0,17,330,57,351
10257,10346,10424,10390,9860,9863,9849,9884,9864,9842,9763,9764
