100
12
Jan
refugee,price
5676,1424,2108,1012,93,0,15,12,274,1544,778,425
11334.4,10795.82,10593.18,10156.6,9990.64,9801.67,9839.09,9882.36,9887.45,9981.27,9920.38,9700.18
6849,11220,2011,8672,124,0,0,2721,528,2197,1335,772
10676.38,10064.86,10465.0,10189.33,10206.03,9826.96,9887.05,9858.88,9931.96,10060.21,9897.18,9879.09
2283,3804,2749,569,33,486,29,1492,92,2189,838,111
10581.86,10809.87,10771.94,10374.1,9822.99,10042.35,9884.92,9881.92,10086.98,9904.53,9851.48,10132.27
366,8202,830,2053,158,100,0,5,85,488,3806,708
10710.85,10517.75,10501.99,10133.65,9720.37,9936.13,9815.05,9847.9,10182.3,9896.82,10123.22,10225.01
624,13493,937,789,288,17,366,1101,1241,1292,2016,2023
11869.94,10055.01,10683.19,10300.31,9949.26,9897.39,9858.76,9896.12,10028.06,9951.59,10331.84,10209.41
846,6266,2612,1919,18307,413,5,0,159,952,1440,303
11408.73,9967.09,10617.61,10517.15,9868.44,9893.16,9815.86,9948.84,9951.71,9974.32,9840.89,10054.98
410,3188,1320,883,18,179,0,13,181,273,3698,1365
9471.17,10059.96,10696.82,9892.97,9823.28,9867.19,9861.89,9893.22,10177.66,9857.41,10050.04,9812.43
558,4563,246,863,727,0,17,10,11,1202,384,222
10535.53,9793.65,10495.9,10214.58,9838.1,9843.99,9901.94,9905.99,9868.58,10248.89,10481.5,9703.61
524,1712,942,80,47,853,0,181,72,275,1029,857
10320.15,11647.96,10595.3,9711.16,9862.11,9871.26,9915.77,9848.22,9934.95,10040.47,10359.78,10065.52
433,1698,5295,1457,598,4,7,11,12,980,274,1738
10736.53,10566.24,10601.3,10124.85,10265.12,9871.41,9918.62,9808.64,9897.79,9873.46,9708.79,9737.48
419,2118,1177,8732,584,0,422,570,7,11355,1316,29
10701.96,12632.31,10672.0,10320.26,9864.18,9971.77,9912.07,9851.78,9956.63,9857.57,9928.72,10145.29
88,3969,11548,1421,52,269,6,8,9,1331,10228,1094
11099.5,10340.89,10414.35,10357.95,10042.23,9865.27,9908.36,9958.88,10126.33,10039.34,9806.42,9928.58
966,1495,1106,862,827,14,7,0,1699,1151,1664,6863
9926.02,11130.53,10667.17,10035.81,9847.17,9843.78,9940.91,9958.7,10148.57,9937.46,10262.96,10480.46
1860,2319,7988,73,23,13,48,0,51,1638,302,351
10607.48,11148.01,10713.32,10100.84,9846.16,9864.36,9890.26,9953.58,9888.96,10167.84,10129.93,9674.68
560,9205,1900,830,913,414,0,0,894,217,374,506
10413.28,12487.88,10504.92,10226.38,9779.68,9900.29,9852.89,9962.64,10114.05,9902.39,9881.04,10184.85
189,1119,412,348,3889,13,241,55,42,3,8360,1071
11598.16,10689.99,10295.39,10143.74,10025.93,9966.79,9805.76,9868.67,10040.46,10107.26,10068.29,9656.07
347,2284,1235,1246,1491,54,24,4,17,67,1497,516
10214.92,10913.32,10573.64,10272.54,9578.88,9931.95,9966.37,9824.35,9977.11,10072.38,9615.81,9763.92
4523,3033,1493,133,948,54,236,16,20,9848,854,10226
10729.39,12505.76,10274.61,10137.01,9979.07,9796.09,9881.16,9860.72,10013.54,10097.83,10151.13,9983.18
172,678,2715,482,80,96,14,417,3,1922,20903,397
11382.17,11236.14,10578.42,9694.98,10173.13,9988.84,9880.0,9939.98,10014.47,9753.51,10124.56,10126.81
733,1453,2004,3039,239,45,84,118,96,1660,506,221
10961.12,9953.44,10788.14,10394.09,10047.11,9784.97,9843.68,9890.08,10074.13,9886.76,9982.09,9916.98
2201,859,2188,495,756,6861,4,0,403,6861,3003,451
9832.47,12568.91,10534.83,10187.15,9807.83,10086.47,9939.79,9927.88,10160.2,10061.25,10087.4,10063.07
341,5980,1074,783,303,0,3,6,212,343,315,252
9648.13,10935.58,10517.26,10634.35,9872.97,9855.81,9859.01,9983.86,10123.16,10108.76,10162.76,9696.12
1714,3407,924,328,843,571,2,27,478,8937,520,366
10756.26,10218.06,10429.98,10499.86,10093.04,9841.78,9862.67,9980.9,10117.26,9908.28,9997.13,9796.11
246,3354,1788,1861,613,0,27,0,10,357,6000,388
10949.7,10796.4,10360.05,9566.96,9697.44,9876.06,9835.19,9921.58,9987.81,9921.46,9937.94,9783.95
510,1884,2195,79,471,17,4,10,15,4,947,279
10391.24,11013.26,10490.46,9662.09,10145.34,9981.3,9877.88,9900.65,10033.39,10104.83,9808.76,10271.28
86,2636,996,1354,3818,558,6,13,7,245,20,211
9999.34,10413.83,10671.5,9518.96,9980.24,9794.27,9937.15,9898.65,9822.9,9754.62,9974.49,9744.87
827,5276,18821,251,504,185,27,3,9,765,83,700
10644.35,11538.88,10460.15,10636.37,10013.92,9888.92,9922.05,9927.91,10011.95,10028.93,9884.38,9828.11
2992,1115,5654,322,236,0,5,88,23,36,393,5134
10793.8,11941.19,10454.42,9865.67,10039.93,10110.27,9863.29,9952.82,10044.77,9858.53,10005.04,10116.05
1273,7291,712,1037,304,62,0,0,14,1317,6590,32
11205.75,9190.98,10474.67,10585.14,10207.89,9876.69,9908.01,9908.0,10017.93,10009.52,10096.89,10152.11
153,613,1163,124,1863,98,72,1621,19,1016,2845,3382
9901.8,10105.63,10397.86,9447.58,10015.35,9923.86,9875.89,9859.96,9974.72,9973.79,10044.65,10572.23
1953,19391,381,2882,60,305,6,57,605,29,6533,800
10812.17,10577.55,10423.27,10356.09,9940.21,9970.66,9830.37,9932.7,10011.92,10081.02,9989.48,9809.86
1827,1772,1526,432,91,190,12,29,107,209,200,202
10133.86,10754.97,10701.25,9748.89,10116.77,10068.31,9864.59,9917.96,10045.54,10017.83,10229.34,9494.89
9873,7740,6208,2315,336,24,223,71,157,5912,851,321
10590.27,10864.85,10644.04,10293.1,9963.9,9888.74,9873.25,9930.75,10063.49,10034.77,10278.3,10769.63
